reconstructed,spectrum,min_pixel,max_pixel,particle_size,sample_thickness,description,csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.06.29/S00000-00999/S00044_S00063.hdf5,source/data/theory/45-full-spectrum.csv,481,671,0.166,45,sample thickness 45 mm,source/data/rawdata/S00044_S00063.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.06.29/S00000-00999/S00064_S00083.hdf5,source/data/theory/12-full-spectrum.csv,100,1000,0.166,12,sample thickness 12 mm,source/data/rawdata/S00064_S00083.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00002_S00021.hdf5,source/data/theory/12-full-spectrum.csv,100,1000,0.261,12,sample thickness 12 mm,source/data/rawdata/S00002_S00021.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00022_S00041.hdf5,source/data/theory/45-full-spectrum.csv,480,670,0.261,45,sample thickness 45 mm,source/data/rawdata/S00022_S00041.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00043_S00062.hdf5,source/data/theory/12-full-spectrum.csv,100,1000,0.507,12,sample thickness 12 mm,source/data/rawdata/S00043_S00062.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00063_S00082.hdf5,source/data/theory/45-full-spectrum.csv,480,600,0.507,45,sample thickness 45 mm,source/data/rawdata/S00063_S00082.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00084_S00103.hdf5,source/data/theory/12-full-spectrum.csv,100,1000,0.69,12,sample thickness 12 mm,source/data/rawdata/S00084_S00103.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00104_S00123.hdf5,source/data/theory/45-full-spectrum.csv,480,600,0.69,45,sample thickness 45 mm,source/data/rawdata/S00104_S00123.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00127_S00146.hdf5,source/data/theory/12-full-spectrum.csv,100,1000,0.89,12,sample thickness 12 mm,source/data/rawdata/S00127_S00146.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.07.10/S00000-00999/S00211_S00230.hdf5,source/data/theory/45-full-spectrum.csv,400,620,0.89,45,sample thickness 45 mm,source/data/rawdata/S00211_S00230.csv
