energy,diameter,dfec_lynch,dfec_structure
20,0.166,683.008929867,159.427023491
20,0.261,1080.55474048,257.7739971
20,0.507,2105.51541618,506.60816322
20,0.69,2866.95774041,691.513326163
20,0.89,3698.83132527,903.506604718
20,1.18,4904.81479592,1192.88812772
20,1.54,6401.72807146,1614.84223302
20,1.7,7066.99439005,1693.68952999
20,1.86,7732.24643577,1755.51468509
20,3.62,15049.6763716,3110.79509481
20,7.75,19777.1608932,9475.46352632
20,0.1,402.913554798,86.2438338324
20,0.179797979798,741.287740763,174.366778209
20,0.259595959596,1074.7059444,256.348039052
20,0.339393939394,1407.56625153,337.648286428
20,0.419191919192,1740.02343741,418.844150897
20,0.49898989899,2072.17215167,498.520714348
20,0.578787878788,2404.28127653,578.368724563
20,0.658585858586,2736.27755636,657.27796994
20,0.738383838384,3068.21458595,744.497452813
20,0.818181818182,3400.13955394,817.003971474
20,0.89797979798,3732.01391121,910.220780267
20,0.977777777778,4063.87759288,965.963358071
20,1.05757575758,4395.7289688,1069.03456763
20,1.13737373737,4727.55680944,1166.18643393
20,1.21717171717,5059.38464849,1209.07731588
20,1.29696969697,5391.2000055,1263.16807574
20,1.37676767677,5723.0061674,1370.05798668
20,1.45656565657,6054.81262142,1502.1062292
20,1.53636363636,6386.60873921,1610.98717569
20,1.61616161616,6718.40290414,1671.2478717
20,1.69595959596,7050.19522845,1693.03831841
20,1.77575757576,7381.98068736,1709.13202643
20,1.85555555556,7713.76694092,1751.96376284
20,1.93535353535,8045.54963935,1835.08044411
20,2.01515151515,8377.32899339,1952.57097967
20,2.09494949495,8709.10923376,2091.89293852
20,2.17474747475,9040.88547955,2239.72750403
20,2.25454545455,9372.66104654,2384.83582387
20,2.33434343434,9704.43639257,2517.67464078
20,2.41414141414,10036.2084883,2631.73372393
20,2.49393939394,10367.9813213,2725.60901073
20,2.57373737374,10699.7526915,2791.95234338
20,2.65353535354,11031.5222317,2841.69461544
20,2.73333333333,11363.2927319,2868.5041149
20,2.81313131313,11695.0610242,2874.95052421
20,2.89292929293,12026.8290039,2879.07526261
20,2.97272727273,12358.5973116,2873.0994318
20,3.05252525253,12690.3633948,2857.16625449
20,3.13232323232,13022.1303473,2852.1247549
20,3.21212121212,13353.8965454,2860.8999005
20,3.29191919192,13685.6611998,2872.68895911
20,3.37171717172,14017.4273895,2894.64834409
20,3.45151515152,14349.1914655,2942.43066325
20,3.53131313131,14680.9554603,3013.530325
20,3.61111111111,15012.7213351,3100.07373512
20,3.69090909091,15344.4802822,3206.9064208
20,3.77070707071,15675.2422799,3339.19908081
20,3.85050505051,15997.9400076,3484.16397706
20,3.9303030303,16308.1309308,3631.55829547
20,4.0101010101,16603.9253381,3786.05996822
20,4.0898989899,16884.4374359,3948.62817103
20,4.1696969697,17149.3393894,4111.30975581
20,4.24949494949,17398.6529693,4269.81491801
20,4.32929292929,17632.6269168,4429.5482591
20,4.40909090909,17851.6558145,4599.58276209
20,4.48888888889,18056.2302797,4775.41576365
20,4.56868686869,18246.9000658,4935.06832992
20,4.64848484848,18424.2484183,5065.60588983
20,4.72828282828,18588.8752377,5183.97604068
20,4.80808080808,18741.3834652,5319.34933173
20,4.88787878788,18882.370357,5483.9009732
20,4.96767676768,19012.4213004,5667.92575877
20,5.04747474747,19132.1049976,5851.02750567
20,5.12727272727,19241.9708241,6009.481338
20,5.20707070707,19342.5468258,6129.28652351
20,5.28686868687,19434.3385621,6221.51868408
20,5.36666666667,19517.8287167,6313.51190039
20,5.44646464646,19593.4769474,6423.7181283
20,5.52626262626,19661.7201698,6550.04584537
20,5.60606060606,19722.9730265,6676.37680748
20,5.68585858586,19777.6285471,6787.03672551
20,5.76565656566,19826.058853,6879.78003419
20,5.84545454545,19868.615972,6967.37567585
20,5.92525252525,19905.6327909,7067.74903667
20,6.00505050505,19937.4238789,7192.35408758
20,6.08484848485,19964.2864138,7341.52192457
20,6.16464646465,19986.5009974,7509.10635843
20,6.24444444444,20004.3325013,7687.52104575
20,6.32424242424,20018.0311018,7863.48194748
20,6.40404040404,20027.8328799,8010.78777725
20,6.48383838384,20033.9605729,8094.83877531
20,6.56363636364,20036.6245696,8091.38746875
20,6.64343434343,20036.0233895,8005.76231038
20,6.72323232323,20032.3443602,7875.98969854
20,6.80303030303,20025.7644515,7756.53717257
20,6.88282828283,20016.4506696,7695.67911101
20,6.96262626263,20004.5606936,7721.13333847
20,7.04242424242,19990.2435279,7837.23624702
20,7.12222222222,19973.6398064,8028.76408443
20,7.20202020202,19954.882442,8267.29901001
20,7.28181818182,19934.0970418,8519.54475271
20,7.36161616162,19911.402205,8757.24009947
20,7.44141414141,19886.9101689,8964.95906607
20,7.52121212121,19860.7269193,9140.42792292
20,7.60101010101,19832.9527141,9286.84370943
20,7.68080808081,19803.6824239,9403.73980284
20,7.76060606061,19773.0056425,9483.52415496
20,7.8404040404,19741.0073136,9514.8457872
