energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
20.0,7677364.0,1.89288993353e-12,3.23496968359e-09,0.636619772368,0.999999998206,6.97456325487e-129,3.05645971592e-122,4.80107569477e-122
21.0,8107793.0,1.55650411478e-12,2.69781390179e-09,0.513514217281,0.999999976101,6.02062034563e-113,2.26602800363e-106,4.4127853278e-106
22.0,8508024.0,1.29164994041e-12,2.27230115112e-09,0.274798182959,0.999999795996,9.51980562594e-100,2.02585624459e-93,7.37216026241e-93
23.0,8858380.0,1.08082086123e-12,1.93102754963e-09,0.089299145813,0.999998774001,1.0605390296e-88,7.68028591496e-83,8.60062640581e-82
24.0,9161358.0,9.1131107578e-13,1.65645708795e-09,0.0110374516635,0.99999449237,1.79226368361e-79,1.66702075571e-74,1.51033119467e-72
25.0,9416509.0,7.73774044838e-13,1.43160724066e-09,9.35411414451e-48,0.999980254478,1.27894387224e-71,1.04048383751e-111,1.11232749723e-64
26.0,9639997.0,6.61236964462e-13,1.24632567704e-09,0.0087255638568,0.999941261506,6.505319592e-65,5.07164857517e-60,5.81240210765e-58
27.0,9810562.0,5.68436863312e-13,1.09131195374e-09,0.0575488020664,0.9998483625,4.31444789212e-59,2.26436415453e-53,3.93468512501e-52
28.0,9935972.0,4.91363745094e-13,9.60524609573e-10,0.154300802901,0.999653136846,5.33373564796e-54,7.6207619382e-48,4.93889973022e-47
29.0,10033170.0,4.26922156008e-13,8.51051261309e-10,0.281852630732,0.999290699438,1.29694386338e-49,3.42462536783e-43,1.21504112235e-42
30.0,10084410.0,3.72708718062e-13,7.57444194085e-10,0.413496671566,0.998669083977,9.76478991009e-46,3.80771556028e-39,9.20857608323e-39
31.0,10112990.0,3.26834565449e-13,6.78768484315e-10,0.524981867908,0.99770898881,2.09113317594e-42,1.03906614945e-35,1.9792419757e-35
32.0,10087790.0,2.87806868698e-13,6.10552335801e-10,0.600622975292,0.996285614576,1.99432904744e-39,1.13118812273e-32,1.88335806199e-32
33.0,10057380.0,2.54435354982e-13,5.52574826842e-10,0.634458998826,0.994346309563,7.58916961674e-37,4.53102841133e-30,7.14156221239e-30
34.0,10014840.0,2.25763672305e-13,5.01834597074e-10,0.628507353992,0.991762351455,1.59538339368e-34,9.3838451413e-28,1.49303664972e-27
35.0,9935079.0,2.01019869392e-13,4.58040898805e-10,0.589926134246,0.988524309505,1.75775928155e-32,9.60682708212e-26,1.62847965608e-25
36.0,9814015.0,1.79575068879e-13,4.19593318129e-10,0.528247648301,0.984553186652,1.20038826325e-30,5.78599457031e-24,1.09531856676e-23
37.0,9706238.0,1.6091561225e-13,3.85745545953e-10,0.453238008358,0.979832906286,5.35648633516e-29,2.1825948217e-22,4.81555999597e-22
38.0,9581190.0,1.44618162233e-13,3.56158435682e-10,0.37352150697,0.974442524827,1.55534945463e-27,5.13178087755e-21,1.37389167204e-20
39.0,9442692.0,1.30333039833e-13,3.29594424803e-10,0.295883635855,0.968252050542,3.45501765145e-26,8.85055812835e-20,2.99122934013e-19
40.0,9283827.0,1.17769017557e-13,3.06158438908e-10,0.225079079039,0.961422012047,5.52673898321e-25,1.05217159828e-18,4.67467524201e-18
41.0,9135534.0,1.06683404902e-13,2.85076694077e-10,0.163963821804,0.953883774653,7.04915709692e-24,9.55129685238e-18,5.82524653749e-17
42.0,8978109.0,9.68721571982e-14,2.66030073832e-10,0.113800918969,0.945669349524,7.37927295462e-23,6.76584923779e-17,5.94533796308e-16
43.0,8810011.0,8.81633132294e-14,2.49302238396e-10,0.0746310465374,0.937208408398,5.83235591703e-22,3.41251816395e-16,4.57251817076e-15
44.0,8641782.0,8.04116472127e-14,2.34019485383e-10,0.0456380086488,0.928171747249,4.01788075414e-21,1.39734619522e-15,3.06180360754e-14
45.0,8471327.0,7.34936461313e-14,2.20142191683e-10,0.0254703654864,0.918718175083,2.38460933197e-20,4.49336303885e-15,1.76415334175e-13
46.0,8296350.0,6.73038240448e-14,2.07810974655e-10,0.0125023129754,0.909263824903,1.16128873679e-19,1.04161564819e-14,8.33138356271e-13
47.0,8120262.0,6.17522366321e-14,1.96445180365e-10,0.0050310247805,0.899420109768,5.14559999597e-19,1.7990040285e-14,3.57582024933e-12
48.0,7945939.0,5.6761538342e-14,1.86001103095e-10,0.00141570618408,0.889304534516,2.06691780924e-18,1.96832925819e-14,1.39035152938e-11
49.0,7774882.0,5.22649314187e-14,1.76695235095e-10,0.000167435972255,0.879493056331,7.08128393565e-18,7.7210238993e-15,4.61132921159e-11
50.0,7602478.0,4.82049624406e-14,1.68051173269e-10,1.16926426806e-48,0.86945250597,2.27102371804e-17,1.67224435687e-58,1.43016801466e-10
51.0,7432404.0,4.45317222583e-14,1.60009142697e-10,0.00014852348604,0.859213607684,6.85106335356e-17,6.19325452574e-14,4.16988227981e-10
52.0,7265658.0,4.12018250154e-14,1.5277881485e-10,0.0011149048422,0.849414128408,1.83462351931e-16,1.20357343701e-12,1.07953019078e-09
53.0,7099229.0,3.81774293963e-14,1.4607604229e-10,0.00352364376285,0.839640600229,4.61950660559e-16,9.25416735408e-12,2.62630616966e-09
54.0,6935494.0,3.54255469333e-14,1.39798763403e-10,0.00780814191247,0.829779410502,1.11348860845e-15,4.77382112965e-11,6.1139015955e-09
55.0,6777258.0,3.2917235415e-14,1.33985179442e-10,0.0142361066556,0.820068481456,2.53003930114e-15,1.91054334434e-10,1.34204062288e-08
56.0,6617544.0,3.06270389692e-14,1.28698677291e-10,0.022936294187,0.810873129059,5.2982619635e-15,6.22549899089e-10,2.7142566886e-08
57.0,6461273.0,2.85326174181e-14,1.23718728149e-10,0.0339246383431,0.801663075283,1.07515493107e-14,1.80423882165e-09,5.31837304617e-08
58.0,30462600.0,2.66142255977e-14,1.19022320841e-10,0.0471285339656,0.792451145263,2.11817651351e-14,2.3020250522e-08,4.88456749765e-07
59.0,48082310.0,2.48543890322e-14,1.14686300976e-10,0.062408580071,0.783632925889,3.95312980643e-14,8.88237575685e-08,1.4232619532e-06
60.0,6016827.0,2.32376400433e-14,1.10675098894e-10,0.0795774715459,0.775213994432,7.02253071388e-14,2.49135036264e-08,3.13072319872e-07
61.0,5874302.0,2.1750251143e-14,1.06873363031e-10,0.098415990872,0.766831395829,1.22075201893e-13,5.17397788445e-08,5.2572532559e-07
62.0,5734908.0,2.0379997424e-14,1.03266801642e-10,0.118686222029,0.75849190831,2.07899247876e-13,1.02640012461e-07,8.64801412546e-07
63.0,5597046.0,1.91159852616e-14,9.99111708193e-11,0.140142211201,0.750541729406,3.40449282343e-13,1.91711288876e-07,1.36797676612e-06
64.0,5466089.0,1.79484577384e-14,9.67936257052e-11,0.162538352478,0.743028402822,5.3624492373e-13,3.38685008507e-07,2.08372364641e-06
65.0,5334237.0,1.68687271857e-14,9.38234537404e-11,0.185635796464,0.735574429194,8.31859245755e-13,5.79836223838e-07,3.12351515647e-06
66.0,5208785.0,1.58689882679e-14,9.09914725227e-11,0.209207176906,0.728182900593,1.27185345937e-12,9.660137389e-07,4.61749808581e-06
67.0,18558850.0,1.49422262928e-14,8.83068657411e-11,0.233039933636,0.720961842241,1.90758936694e-12,5.69464769184e-06,2.44363599104e-05
68.0,4964482.0,1.40821444017e-14,8.5834031087e-11,0.256938485236,0.714372679416,2.7456396605e-12,2.39580606965e-06,9.32443447486e-06
69.0,8340751.0,1.32830699067e-14,8.34675520295e-11,0.280725476165,0.707849523688,3.90897054802e-12,6.20526851707e-06,2.21044010748e-05
70.0,3640717.0,1.25398825767e-14,8.12013492964e-11,0.304242293491,0.701393404612,5.50747315651e-12,4.09901137596e-06,1.34728519461e-05
71.0,3587899.0,1.18479565769e-14,7.90297735315e-11,0.327349019605,0.695005176203,7.68266926075e-12,6.00892191967e-06,1.83563156136e-05
72.0,3526143.0,1.12031098799e-14,7.6992308644e-11,0.349923960583,0.689010245784,1.04603986176e-11,8.52269371755e-06,2.43558449194e-05
73.0,3476890.0,1.06015373924e-14,7.50722888205e-11,0.371862865704,0.683351952945,1.39531926304e-11,1.18168913611e-05,3.17775514873e-05
74.0,3422668.0,1.00398093875e-14,7.32267874449e-11,0.393077932287,0.677757689083,1.84706612393e-11,1.61470191595e-05,4.10784168563e-05
75.0,3368313.0,9.51480039009e-15,7.14519300437e-11,0.413496671566,0.672227355754,2.42721120215e-11,2.17911099048e-05,5.26996017217e-05
76.0,3313288.0,9.02366724272e-15,6.97440927612e-11,0.433060695501,0.666760783911,3.1671942991e-11,2.90603977415e-05,6.71046761882e-05
77.0,3258620.0,8.56382322456e-15,6.81365508017e-11,0.451724471189,0.661671291854,4.0523823612e-11,3.78603504967e-05,8.38129278166e-05
78.0,3203895.0,8.13289654883e-15,6.66094421393e-11,0.469454078451,0.656837522084,5.11313700911e-11,4.84635728406e-05,0.000103233894571
79.0,3148542.0,7.72873877987e-15,6.51362424271e-11,0.486225997122,0.652060978521,6.41620739947e-11,6.1459034064e-05,0.00012640013991
80.0,3094379.0,7.34937896009e-15,6.37143839212e-11,0.502025943162,0.647341115628,8.0088443612e-11,7.72939942761e-05,0.000153964143345
81.0,3040071.0,6.99301337395e-15,6.23414517891e-11,0.516847766798,0.64267736714,9.94590182015e-11,9.64044262431e-05,0.000186523832424
82.0,2985772.0,6.65798774549e-15,6.10307155771e-11,0.530692421179,0.638221394715,1.22195519698e-10,0.000118633873904,0.000223545445854
83.0,2931739.0,6.3427876802e-15,5.97924406174e-11,0.543567006351,0.634107667544,1.47824330469e-10,0.000143429217781,0.000263866673483
84.0,2879337.0,6.04602251992e-15,5.85941873705e-11,0.555483890508,0.630042960545,1.78107828576e-10,0.000172359069458,0.00031028635106
85.0,2825172.0,5.7664133938e-15,5.74341989658e-11,0.566459908336,0.626026603805,2.13759056212e-10,0.0002056904014,0.000363115550409
86.0,2772045.0,5.50278374644e-15,5.63108153903e-11,0.57651563464,0.622057928653,2.55579408092e-10,0.000244070514735,0.000423354545948
87.0,2720672.0,5.2540500892e-15,5.52224670897e-11,0.58567473035,0.618136268579,3.04466825497e-10,0.000288116258932,0.000491939030321
88.0,2668196.0,5.01921452718e-15,5.4190032596e-11,0.59396335718,0.614519523075,3.58194855422e-10,0.000335201529725,0.000564347153192
89.0,2616703.0,4.79735243496e-15,5.31975062575e-11,0.601409656727,0.611050596678,4.18555782826e-10,0.000386803768433,0.000643161884925
