energy,photons
20,7.677364e+6
21,8.107793e+6
22,8.508024e+6
23,8.858380e+6
24,9.161358e+6
25,9.416509e+6
26,9.639997e+6
27,9.810562e+6
28,9.935972e+6
29,1.003317e+7
30,1.008441e+7
31,1.011299e+7
32,1.008779e+7
33,1.005738e+7
34,1.001484e+7
35,9.935079e+6
36,9.814015e+6
37,9.706238e+6
38,9.581190e+6
39,9.442692e+6
40,9.283827e+6
41,9.135534e+6
42,8.978109e+6
43,8.810011e+6
44,8.641782e+6
45,8.471327e+6
46,8.296350e+6
47,8.120262e+6
48,7.945939e+6
49,7.774882e+6
50,7.602478e+6
51,7.432404e+6
52,7.265658e+6
53,7.099229e+6
54,6.935494e+6
55,6.777258e+6
56,6.617544e+6
57,6.461273e+6
58,3.046260e+7
59,4.808231e+7
60,6.016827e+6
61,5.874302e+6
62,5.734908e+6
63,5.597046e+6
64,5.466089e+6
65,5.334237e+6
66,5.208785e+6
67,1.855885e+7
68,4.964482e+6
69,8.340751e+6
70,3.640717e+6
71,3.587899e+6
72,3.526143e+6
73,3.476890e+6
74,3.422668e+6
75,3.368313e+6
76,3.313288e+6
77,3.258620e+6
78,3.203895e+6
79,3.148542e+6
80,3.094379e+6
81,3.040071e+6
82,2.985772e+6
83,2.931739e+6
84,2.879337e+6
85,2.825172e+6
86,2.772045e+6
87,2.720672e+6
88,2.668196e+6
89,2.616703e+6
90,2.566776e+6
91,2.516226e+6
92,2.466305e+6
93,2.418048e+6
94,2.368912e+6
95,2.321125e+6
96,2.273856e+6
97,2.227018e+6
98,2.180883e+6
99,2.135349e+6
100,2.090150e+6
101,2.045487e+6
102,2.001890e+6
103,1.958401e+6
104,1.915696e+6
105,1.873543e+6
106,1.832124e+6
107,1.790492e+6
108,1.750357e+6
109,1.710907e+6
110,1.670975e+6
111,1.632060e+6
112,1.593847e+6
113,1.555580e+6
114,1.517929e+6
115,1.481141e+6
116,1.444540e+6
117,1.408264e+6
118,1.372868e+6
119,1.337611e+6
120,1.302591e+6
121,1.268432e+6
122,1.234755e+6
123,1.200745e+6
124,1.167681e+6
125,1.135355e+6
126,1.102549e+6
127,1.070381e+6
128,1.039118e+6
129,1.007408e+6
130,976258.9
131,945622.4
132,915343
133,884780.9
134,854931.7
135,825305.7
136,795403.2
137,766238.1
138,737468.2
139,707938.8
140,679327.4
141,651142.5
142,621892.3
143,593425.2
144,565664.7
145,536684
146,508122
147,480278.9
148,451488.2
149,422666
150,394510.8
151,364603.1
152,333346.8
153,302861.8
154,272830.3
155,242495.3
156,212892.9
157,177941.3
158,117187
159,57879.62
160,0
