energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
20.0,7.99788459463e-07,1.89288993353e-12,3.23496968359e-09,0.636619772368,0.999999998206,0.000382378783438,3.18969112282e-11,5.01035509933e-11
21.0,3.71435139474e-05,1.55650411478e-12,2.69781390179e-09,0.513514217281,0.999999976101,0.00101731886904,3.91524989274e-09,7.62442355242e-09
22.0,0.000916160184948,1.29164994041e-12,2.27230115112e-09,0.274798182959,0.999999795996,0.00228786335476,1.38482054167e-07,5.03940938311e-07
23.0,0.0135969646708,1.08082086123e-12,1.93102754963e-09,0.089299145813,0.999998774001,0.00450831283228,1.52709264689e-06,1.71008651089e-05
24.0,0.134263018678,9.1131107578e-13,1.65645708795e-09,0.0110374516635,0.99999449237,0.00794494175051,3.72979696406e-06,0.000337921929605
25.0,0.947733386905,7.73774044838e-13,1.43160724066e-09,9.35411414451e-48,0.999980254478,0.0128681477753,4.03247616024e-50,0.00431091185968
26.0,5.07996502791,6.61236964462e-13,1.24632567704e-09,0.0087255638568,0.999941261506,0.0194246780909,0.000334676720121,0.0383558845725
27.0,22.1241952446,5.68436863312e-13,1.09131195374e-09,0.0575488020664,0.9998483625,0.0277714148555,0.0149595994913,0.25994632302
28.0,79.7344833141,4.91363745094e-13,9.60524609573e-10,0.154300802901,0.999653136846,0.0379653585988,0.212939546108,1.38002876268
29.0,244.708636499,4.26922156008e-13,8.51051261309e-10,0.281852630732,0.999290699438,0.0496986469012,1.67001603483,5.92513907177
30.0,651.514707492,3.72708718062e-13,7.57444194085e-10,0.413496671566,0.998669083977,0.0630556989573,8.77335177445,21.2174664943
31.0,1534.36919667,3.26834565449e-13,6.78768484315e-10,0.524981867908,0.99770898881,0.0773648186397,33.8687917256,64.5142123871
32.0,3254.88188871,2.87806868698e-13,6.10552335801e-10,0.600622975292,0.996285614576,0.0928954797038,103.216254523,171.848661755
33.0,6323.10189792,2.54435354982e-13,5.52574826842e-10,0.634458998826,0.994346309563,0.108844172076,258.022379388,406.680935829
34.0,11404.2073598,2.25763672305e-13,5.01834597074e-10,0.628507353992,0.991762351455,0.125528710767,550.04485262,875.160567536
35.0,19205.9946123,2.01019869392e-13,4.58040898805e-10,0.589926134246,0.988524309505,0.142298039717,1015.03589396,1720.61523475
36.0,30477.7753511,1.79575068879e-13,4.19593318129e-10,0.528247648301,0.984553186652,0.159263129906,1655.76243799,3134.44355751
37.0,46160.2970629,1.6091561225e-13,3.85745545953e-10,0.453238008358,0.979832906286,0.176239587115,2433.24293508,5368.576532
38.0,66891.4709776,1.44618162233e-13,3.56158435682e-10,0.37352150697,0.974442524827,0.19280372169,3237.96828202,8668.75995518
39.0,93311.698834,1.30333039833e-13,3.29594424803e-10,0.295883635855,0.968252050542,0.209423464829,3946.69906769,13338.6865289
40.0,126315.969675,1.17769017557e-13,3.06158438908e-10,0.225079079039,0.961422012047,0.225492709688,4431.54076453,19688.8168525
41.0,166379.138665,1.06683404902e-13,2.85076694077e-10,0.163963821804,0.953883774653,0.241333155645,4597.0909968,28037.2276409
42.0,213184.060549,9.68721571982e-14,2.66030073832e-10,0.113800918969,0.945669349524,0.256929336481,4386.64077034,38546.6199226
43.0,266037.419808,8.81633132294e-14,2.49302238396e-10,0.0746310465374,0.937208408398,0.271491252126,3816.33298845,51135.9972226
44.0,325149.457726,8.04116472127e-14,2.34019485383e-10,0.0456380086488,0.928171747249,0.285829196082,3015.35315402,66071.093882
45.0,389789.521421,7.34936461313e-14,2.20142191683e-10,0.0254703654864,0.918718175083,0.299730629895,2120.80826455,83265.7177883
46.0,458644.979731,6.73038240448e-14,2.07810974655e-10,0.0125023129754,0.909263824903,0.312654779729,1279.43318521,102335.718816
47.0,531562.671923,6.17522366321e-14,1.96445180365e-10,0.0050310247805,0.899420109768,0.325315653112,620.834884328,123401.277357
48.0,607781.838903,5.6761538342e-14,1.86001103095e-10,0.00141570618408,0.889304534516,0.33760480478,207.032235135,146239.549889
49.0,685832.742963,5.22649314187e-14,1.76695235095e-10,0.000167435972255,0.879493056331,0.348874842601,28.5000449591,170214.587554
50.0,765275.895972,4.82049624406e-14,1.68051173269e-10,1.16926426806e-48,0.86945250597,0.359886794525,2.28435279532e-43,195366.68123
51.0,845606.252884,4.45317222583e-14,1.60009142697e-10,0.00014852348604,0.859213607684,0.370641074499,32.895199602,221481.467201
52.0,925145.048146,4.12018250154e-14,1.5277881485e-10,0.0011149048422,0.849414128408,0.380505774704,276.252496719,247781.233216
53.0,1003560.39259,3.81774293963e-14,1.4607604229e-10,0.00352364376285,0.839640600229,0.389992165352,966.307832193,274235.393027
54.0,1080735.64011,3.54255469333e-14,1.39798763403e-10,0.00780814191247,0.829779410502,0.399250026916,2348.36408488,300758.376475
55.0,1156173.15857,3.2917235415e-14,1.33985179442e-10,0.0142361066556,0.820068481456,0.408084463256,4655.6466239,327030.889591
56.0,1227563.28933,3.06270389692e-14,1.28698677291e-10,0.022936294187,0.810873129059,0.416207809415,8077.7434875,352181.717832
57.0,1296347.31443,2.85326174181e-14,1.23718728149e-10,0.0339246383431,0.801663075283,0.424136740696,12780.2734496,376725.414737
58.0,6577935.993,2.66142255977e-14,1.19022320841e-10,0.0471285339656,0.792451145263,0.431875920744,91142.3176281,1933909.45907
59.0,11117784.8835,2.48543890322e-14,1.14686300976e-10,0.062408580071,0.783632925889,0.439121898432,206089.429072,3302261.14482
60.0,1482850.48918,2.32376400433e-14,1.10675098894e-10,0.0795774715459,0.775213994432,0.445902421271,35367.5826073,444442.150778
61.0,1537263.87419,2.1750251143e-14,1.06873363031e-10,0.098415990872,0.766831395829,0.452525856142,45715.8120374,464516.097764
62.0,1588061.34172,2.0379997424e-14,1.03266801642e-10,0.118686222029,0.75849190831,0.458996539358,57370.5404267,483379.953004
63.0,1633929.24485,1.91159852616e-14,9.99111708193e-11,0.140142211201,0.750541729406,0.46507329004,70149.3197894,500558.105858
64.0,1676393.95423,1.79484577384e-14,9.67936257052e-11,0.162538352478,0.743028402822,0.470742076255,83951.343972,516501.752923
65.0,1714059.01679,1.68687271857e-14,9.38234537404e-11,0.185635796464,0.735574429194,0.476286197342,98534.7082231,530795.838411
66.0,1749256.88776,1.58689882679e-14,9.09914725227e-11,0.209207176906,0.728182900593,0.48170925307,113837.599788,544138.119309
67.0,6497627.36952,1.49422262928e-14,8.83068657411e-11,0.233039933636,0.720961842241,0.486944648306,472885.71529,2029204.64279
68.0,1806797.44916,1.40821444017e-14,8.5834031087e-11,0.256938485236,0.714372679416,0.49169654999,145482.55291,566215.500091
69.0,3149333.18978,1.32830699067e-14,8.34675520295e-11,0.280725476165,0.707849523688,0.496350347901,277900.564446,989937.102405
70.0,1423571.2363,1.25398825767e-14,8.12013492964e-11,0.304242293491,0.701393404612,0.500908879472,136499.342822,448653.411252
71.0,1450316.41847,1.18479565769e-14,7.90297735315e-11,0.327349019605,0.695005176203,0.505374886717,149963.072543,458113.706052
72.0,1470493.57213,1.12031098799e-14,7.6992308644e-11,0.349923960583,0.689010245784,0.509551345754,162854.675758,465400.184334
73.0,1493140.95371,1.06015373924e-14,7.50722888205e-11,0.371862865704,0.683351952945,0.513481296467,176031.971366,473378.730714
74.0,1511571.58697,1.00398093875e-14,7.32267874449e-11,0.393077932287,0.677757689083,0.517336195745,188642.03255,479910.005255
75.0,1527822.57557,9.51480039009e-15,7.14519300437e-11,0.413496671566,0.672227355754,0.521118152827,200809.571015,485637.696319
76.0,1541669.07409,9.02366724272e-15,6.97440927612e-11,0.433060695501,0.666760783911,0.524829202708,212412.071749,490490.302988
77.0,1553078.67588,8.56382322456e-15,6.81365508017e-11,0.451724471189,0.661671291854,0.528289863472,223385.639324,494517.462683
78.0,1562140.70793,8.13289654883e-15,6.66094421393e-11,0.469454078451,0.656837522084,0.531575551136,233665.591808,497738.974979
79.0,1568952.93222,7.72873877987e-15,6.51362424271e-11,0.486225997122,0.652060978521,0.53480331489,243187.629498,500153.490224
80.0,1574461.58764,7.34937896009e-15,6.37143839212e-11,0.502025943162,0.647341115628,0.537974713289,252051.466679,502068.60843
81.0,1578053.29094,6.99301337395e-15,6.23414517891e-11,0.516847766798,0.64267736714,0.541091250174,238861.283264,462150.169949
82.0,1579641.87029,6.65798774549e-15,6.10307155771e-11,0.530692421179,0.638221394715,0.544070035023,232134.265947,437417.714447
83.0,1579250.12796,6.3427876802e-15,5.97924406174e-11,0.543567006351,0.634107667544,0.546839517228,238737.404566,439205.10586
84.0,1578085.75882,6.04602251992e-15,5.85941873705e-11,0.555483890508,0.630042960545,0.54956392115,244775.804285,440653.290703
85.0,1574346.08048,5.7664133938e-15,5.74341989658e-11,0.566459908336,0.626026603805,0.55224439999,249953.949948,441256.205902
86.0,1569612.3391,5.50278374644e-15,5.63108153903e-11,0.57651563464,0.622057928653,0.554882067434,254506.543468,441456.446584
87.0,1564367.19058,5.2540500892e-15,5.52224670897e-11,0.58567473035,0.618136268579,0.557477999323,258512.848267,441393.20833
88.0,1556409.00876,5.01921452718e-15,5.4190032596e-11,0.59396335718,0.614519523075,0.559899202849,261661.480659,440534.719012
89.0,1547408.4341,4.79735243496e-15,5.31975062575e-11,0.601409656727,0.611050596678,0.562229232559,264202.577859,439305.513145
90.0,1538041.83908,4.58761525372e-15,5.22342338275e-11,0.608043289517,0.607622222063,0.564524478701,266241.492073,437866.014909
91.0,1527054.84883,4.38921641385e-15,5.12990372717e-11,0.613895029383,0.60423375859,0.566785776938,267573.9958,435862.782713
92.0,1515239.20581,4.20142823691e-15,5.0390798374e-11,0.618996408584,0.600884575146,0.56901393555,268349.943444,433524.233296
93.0,1503288.35798,4.02357695018e-15,4.95084550854e-11,0.623379409159,0.59757405023,0.571209736565,268709.475291,431052.856965
94.0,1489173.3986,3.85503685447e-15,4.86673901362e-11,0.627076196204,0.594511529529,0.573266492887,268356.679907,427949.077849
95.0,1474644.16073,3.69523051796e-15,4.78567975224e-11,0.630118888971,0.591579273889,0.575245799734,267596.074281,424675.531816
96.0,1459462.56217,3.54362019225e-15,4.70681442283e-11,0.632539365913,0.588680139679,0.57719789226,266382.391455,421131.720506
97.0,1443611.78933,3.39970657469e-15,4.63006145421e-11,0.6343691001,0.585813573544,0.579123384662,264732.578807,417316.320681
98.0,1427306.60548,3.26302549163e-15,4.55534311345e-11,0.635639021658,0.582979033206,0.581022871982,262706.411089,413294.971104
99.0,1410520.24036,3.133145102e-15,4.48258528814e-11,0.636379404191,0.580175987269,0.582896930869,260319.64316,409063.589182
100.0,1392965.76834,3.00966329658e-15,4.41212913189e-11,0.636619772368,0.577464012573,0.584716830324,257553.448872,404564.011442
101.0,1374538.5798,2.89220464183e-15,4.34470195995e-11,0.63638882814,0.57496330224,0.58642470425,254436.306711,399812.654559
102.0,1356094.18195,2.78042084235e-15,4.27896336809e-11,0.635714393282,0.572489673993,0.588110827783,251104.333737,394995.514323
103.0,1337017.67462,2.67398603948e-15,4.2148549986e-11,0.634623366166,0.570042669481,0.589775662787,247463.035179,389936.848172
104.0,1317796.91777,2.57259599652e-15,4.15232105402e-11,0.633141690899,0.567621840484,0.591419657449,243621.45935,384781.894561
105.0,1298303.57836,2.47596647459e-15,4.09130816143e-11,0.631294337156,0.565226748648,0.593043246795,239573.885938,379496.33291
106.0,1278692.53314,2.38383174441e-15,4.03176524521e-11,0.629105289197,0.562856965242,0.594646853184,235366.170029,374128.423446
107.0,1258160.91357,2.29594483615e-15,3.97406719963e-11,0.626597542738,0.560581395393,0.596198004347,230882.707023,368470.495454
108.0,1237834.0144,2.21206946963e-15,3.91845038279e-11,0.623793108494,0.558449574027,0.597673687969,226357.030293,362871.963814
109.0,1217472.46739,2.13198968239e-15,3.86411867003e-11,0.620713021349,0.556339665031,0.599132006157,221732.633999,357222.462511
110.0,1196264.87896,2.05550121001e-15,3.81103091652e-11,0.617377354216,0.554251303182,0.600573303955,216876.198406,351286.286944
111.0,1175299.17697,1.98241249854e-15,3.75914765415e-11,0.613805235788,0.552184131535,0.601997916779,211999.159445,345385.062043
112.0,1154374.07453,1.91254380856e-15,3.70843100881e-11,0.610014871451,0.55013780119,0.603406170759,207076.955181,339462.142436
113.0,1132961.03198,1.84572638971e-15,3.6588446225e-11,0.606023566756,0.548111971068,0.604798383074,202026.625846,333364.306157
114.0,1111560.59748,1.78180146609e-15,3.61035946438e-11,0.601847752874,0.546107413963,0.606174367679,196949.427874,327241.278103
115.0,1090046.82583,1.72062033653e-15,3.56376745697e-11,0.597503013602,0.544281034333,0.607464268224,191869.059054,321118.144489
116.0,1068297.88509,1.6620428551e-15,3.51817484811e-11,0.593004113467,0.54247243392,0.60874007244,186735.915922,314898.179761
117.0,1046428.68895,1.60593718029e-15,3.47355182866e-11,0.588365026623,0.540681324294,0.610002043208,181579.472648,308617.039477
118.0,1024866.95706,1.55217919389e-15,3.42986972384e-11,0.58359896619,0.538907423537,0.611250436483,176481.890351,302402.678167
119.0,1003075.61455,1.50065198832e-15,3.38710094083e-11,0.578718413824,0.537150456053,0.612485501533,171357.592928,296098.394029
120.0,981139.05633,1.45124539181e-15,3.34521891932e-11,0.573735149262,0.535410152388,0.613707481164,166228.664088,289730.661094
121.0,959540.526064,1.40385552849e-15,3.30419808466e-11,0.568660279681,0.533686249058,0.614916611935,161183.20126,283443.748436
122.0,937973.885502,1.35838415872e-15,3.26409805435e-11,0.563504268709,0.531995177945,0.616105422127,156177.341809,277153.786549
123.0,915664.02521,1.31473902057e-15,3.2253115659e-11,0.558276964958,0.530420723073,0.617235445161,151101.977587,270657.732758
