energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
20.0,1.77443764095e-11,1.89288993353e-12,3.23496968359e-09,0.636619772368,0.999999998206,0.000382378783438,3.87296930954e-15,6.08364596522e-15
21.0,2.22609810603e-09,1.55650411478e-12,2.69781390179e-09,0.513514217281,0.999999976101,0.00101731886904,1.05129059321e-12,2.04724729683e-12
22.0,1.31131484434e-07,1.29164994041e-12,2.27230115112e-09,0.274798182959,0.999999795996,0.00228786335476,7.50393211855e-11,2.73070659993e-10
23.0,4.19090185608e-06,1.08082086123e-12,1.93102754963e-09,0.089299145813,0.999998774001,0.00450831283228,1.54460686327e-09,1.7296994828e-08
24.0,8.16955452988e-05,9.1131107578e-13,1.65645708795e-09,0.0110374516635,0.99999449237,0.00794494175051,6.58974093368e-09,5.97034635762e-07
25.0,0.001050593004,7.73774044838e-13,1.43160724066e-09,9.35411414451e-48,0.999980254478,0.0128681477753,1.16800437965e-52,1.24865311841e-05
26.0,0.00957319798953,6.61236964462e-13,1.24632567704e-09,0.0087255638568,0.999941261506,0.0194246780909,1.50388451625e-06,0.000172353849096
27.0,0.0698263089962,5.68436863312e-13,1.09131195374e-09,0.0575488020664,0.9998483625,0.0277714148555,0.000103739523394,0.0018026356704
28.0,0.40322952169,4.91363745094e-13,9.60524609573e-10,0.154300802901,0.999653136846,0.0379653585988,0.00220138689029,0.0142668531135
29.0,1.89953784616,4.26922156008e-13,8.51051261309e-10,0.281852630732,0.999290699438,0.0496986469012,0.0248454138655,0.0881503706421
30.0,7.41228325143,3.72708718062e-13,7.57444194085e-10,0.413496671566,0.998669083977,0.0630556989573,0.180728836043,0.437074463885
31.0,24.4666263077,3.26834565449e-13,6.78768484315e-10,0.524981867908,0.99770898881,0.0773648186397,0.930035502433,1.77155737995
32.0,70.2731246975,2.87806868698e-13,6.10552335801e-10,0.600622975292,0.996285614576,0.0928954797038,3.67050513035,6.1111633776
33.0,178.693505165,2.54435354982e-13,5.52574826842e-10,0.634458998826,0.994346309563,0.108844172076,11.5460016343,18.1981840524
34.0,411.024730735,2.25763672305e-13,5.01834597074e-10,0.628507353992,0.991762351455,0.125528710767,30.3028008502,48.2139161263
35.0,861.500450833,2.01019869392e-13,4.58040898805e-10,0.589926134246,0.988524309505,0.142298039717,67.4378437016,114.315741898
36.0,1667.12699828,1.79575068879e-13,4.19593318129e-10,0.528247648301,0.984553186652,0.159263129906,130.404775259,246.862954673
37.0,3023.01402975,1.6091561225e-13,3.85745545953e-10,0.453238008358,0.979832906286,0.176239587115,223.658708334,493.468562233
38.0,5155.42365909,1.44618162233e-13,3.56158435682e-10,0.37352150697,0.974442524827,0.19280372169,342.2949118,916.399472087
39.0,8351.41846121,1.30333039833e-13,3.29594424803e-10,0.295883635855,0.968252050542,0.209423464829,474.471520798,1603.5747277
40.0,12875.5607617,1.17769017557e-13,3.06158438908e-10,0.225079079039,0.961422012047,0.225492709688,595.373142377,2645.1731761
41.0,19098.1216349,1.06683404902e-13,2.85076694077e-10,0.163963821804,0.953883774653,0.241333155645,683.594975876,4169.18176433
42.0,27322.6734969,9.68721571982e-14,2.66030073832e-10,0.113800918969,0.945669349524,0.256929336481,716.903590245,6299.62918349
43.0,37754.3055796,8.81633132294e-14,2.49302238396e-10,0.0746310465374,0.937208408398,0.271491252126,680.733039084,9121.31171499
44.0,50739.2029999,8.04116472127e-14,2.34019485383e-10,0.0456380086488,0.928171747249,0.285829196082,583.651889661,12788.7238497
45.0,66457.8793123,7.34936461313e-14,2.20142191683e-10,0.0254703654864,0.918718175083,0.299730629895,443.078246514,17395.8338663
46.0,84926.4987304,6.73038240448e-14,2.07810974655e-10,0.0125023129754,0.909263824903,0.312654779729,287.070462163,22961.3882429
47.0,106330.963014,6.17522366321e-14,1.96445180365e-10,0.0050310247805,0.899420109768,0.325315653112,148.932945674,29602.9044126
48.0,130726.118927,5.6761538342e-14,1.86001103095e-10,0.00141570618408,0.889304534516,0.33760480478,52.8932558307,37361.7466856
